month,maxpsi,airqualitydesc,airqualitylevel,yearmonthstr,ascott_month_open,ascott_month_close,ascott_month_trend,genting_month_open,genting_month_close,genting_month_trend,hotel_prop_month_open,hotel_prop_month_close,hotel_prop_month_trend,mandarin_month_open,mandarin_month_close,mandarin_month_trend,singair_month_open,singair_month_close,singair_month_trend,tourist_month,total_international,total_international_1,total_international_trend,southeast_asia,southeast_asia_1,southeast_asia_trend,greater_china,greater_china_1,greater_china_trend,north_asia,north_asia_1,north_asia_trend,south_asia,south_asia_1,south_asia_trend,west_asia,west_asia_1,west_asia_trend,americas,americas_1,americas_trend,oceania,oceania_1,oceania_trend,africa,africa_1,africa_trend,others,others_1,others_trend
201410,125,Elevated,2,201410,1.18896,1.18896,Downtrend,1.13,1.1,Downtrend,4.15,4.05,,1.66472,1.66,Downtrend,9.81,9.9,Uptrend,201410,1203527,1098626,Uptrend,485039,436327,Uptrend,,,Downtrend,,,Downtrend,110357,85979,Uptrend,14898,11961,Uptrend,47970,42437,Uptrend,97885,109434,Downtrend,4206,4856,Downtrend,205,1,Uptrend
201903,77,Elevated,2,201903,1.14,1.18,Uptrend,1.01,1.04,Uptrend,3.77,3.77,,2.05,1.95,Downtrend,9.94,9.66,Downtrend,201903,1564642,1499046,Uptrend,530293,455403,Uptrend,365213,423941,Downtrend,131235,132143,Downtrend,128591,108449,Uptrend,15024,9935,Uptrend,91111,77042,Uptrend,83728,74455,Uptrend,6112,4488,Uptrend,0,0,Downtrend
201006,49,Normal,1,201006,0.98335,1.03849,Uptrend,1.05,1.17,Uptrend,2.06,2.5,,1.32045,1.33932,Uptrend,14.3,14.6,Uptrend,201006,951032,946676,Uptrend,433880,403211,Uptrend,,,Downtrend,,,Downtrend,102568,133278,Downtrend,11631,8692,Uptrend,46349,40131,Uptrend,85528,72648,Uptrend,5103,5015,Uptrend,4,0,Uptrend
201501,78,Elevated,2,201501,1.20813,1.21293,Uptrend,1.08,1.08,Downtrend,4.04,4.12,,1.57983,1.54682,Downtrend,11.58,12.65,Uptrend,201501,1252608,1360541,Downtrend,448133,619198,Downtrend,,,Downtrend,,,Downtrend,94529,107009,Downtrend,13037,14667,Downtrend,64780,57958,Uptrend,129274,109266,Uptrend,6391,9607,Downtrend,3,1,Uptrend
201701,65,Elevated,2,201701,1.08828,1.08828,Downtrend,0.91,0.97,Uptrend,3.81,3.67,,1.275,1.25,Downtrend,9.68,9.9,Uptrend,201701,1480479,1506134,Downtrend,478812,637752,Downtrend,389744,,Downtrend,113643,,Downtrend,100555,123606,Downtrend,12581,14895,Downtrend,72376,67650,Uptrend,128719,113380,Uptrend,7046,10797,Downtrend,0,110,Downtrend
201802,73,Elevated,2,201802,1.24,1.17,Downtrend,1.34,1.16,Downtrend,3.82,3.78,,2.15,2.17,Uptrend,11.26,11.09,Downtrend,201802,1491970,1563359,Downtrend,451842,495111,Downtrend,452920,358429,Uptrend,121367,139610,Downtrend,102173,133622,Downtrend,11038,13833,Downtrend,76081,81781,Downtrend,70871,128660,Downtrend,4721,7443,Downtrend,3,4,Downtrend
201702,63,Elevated,2,201702,1.08828,1.11704,Uptrend,0.97,0.99,Uptrend,3.64,3.72,,1.25,1.31,Uptrend,9.97,9.95,Downtrend,201702,1361010,1480479,Downtrend,437738,478812,Downtrend,342756,389744,Downtrend,132843,113643,Uptrend,95038,100555,Downtrend,11749,12581,Downtrend,68575,72376,Downtrend,79801,128719,Downtrend,4414,7046,Downtrend,0,0,Downtrend
201104,49,Normal,1,201104,1.11225,1.10298,Downtrend,2.05,2.17,Uptrend,0.0,2.4,,2.00898,1.99955,Downtrend,13.7,14.08,Uptrend,201104,1103320,1071960,Uptrend,456954,434867,Uptrend,,,Downtrend,,,Downtrend,94611,74389,Uptrend,9340,17157,Downtrend,45450,56454,Downtrend,97697,73806,Uptrend,6533,5544,Uptrend,1,1,Downtrend
201109,62,Elevated,2,201109,1.0381,0.93614,Downtrend,1.68,1.54,Downtrend,2.02,2.04,,1.60341,1.30159,Downtrend,11.1,11.43,Uptrend,201109,1033747,1178511,Downtrend,450741,449333,Uptrend,,,Downtrend,,,Downtrend,76611,78694,Downtrend,13020,13462,Downtrend,37354,43228,Downtrend,96987,84622,Uptrend,5942,5213,Uptrend,25,0,Uptrend
201712,64,Elevated,2,201712,1.19,1.22,Uptrend,1.33,1.31,Downtrend,3.8,3.92,,2.18,2.02,Downtrend,10.78,10.67,Downtrend,201712,1569616,1397330,Uptrend,641734,503852,Uptrend,305363,311846,Downtrend,107072,127487,Downtrend,146232,109309,Uptrend,14639,11524,Uptrend,73679,74042,Downtrend,118557,93191,Uptrend,11589,6717,Uptrend,3,4,Downtrend
